sexo;edad;peso;rbc;plaq;hto;hb
HEMBRA;3.5;65;6.04;483;46.26;14.1
HEMBRA;3.5;60;8.68;245.7;61;21.2
HEMBRA;2.5;50;7.66;451.5;96.8;17.6
HEMBRA;2;20;5.88;252;44;14.1
HEMBRA;1.5;33;5.51;233.1;43;13.18
HEMBRA;3;37;7.43;222.6;55.4;17.5
MACHO;4;38;9.3;260.4;59;18.4
HEMBRA;3;35;6.62;420;50;16.1
HEMBRA;1.5;32;8.59;243.6;57;20.2
HEMBRA;6;45;7.21;279.3;53.97;16.3
HEMBRA;4;41;7.9;310.8;59.07;17.7
HEMBRA;5;7;9.08;210;62;21.6
HEMBRA;3;30;7.02;193.2;50;16.9
HEMBRA;6;42;6.25;273;45.88;15.6
HEMBRA;7;27;8.19;247.8;55;14
MACHO;7;27;7.67;220.5;53;19.4
MACHO;2;26;7.37;197.4;46;16.7
MACHO;5;27;7.96;243.6;55;20
MACHO;7;31;7.73;262.5;49;17.9
MACHO;5;42;7.3;323.4;49;18.2
MACHO;6;24;7.79;178.5;51;17.3
MACHO;5;17;6.67;344.4;48;16.7
MACHO;2;32;7.81;153.3;52;18
MACHO;2;12.5;6.34;348.6;45;14.8
MACHO;6.5;30;8.49;264.6;51;18.4
HEMBRA;2;45;8.57;340.2;44;15.5
MACHO;5;19;7.68;344.4;60;18.4
HEMBRA;4;4;7.17;207.9;50.89;18.3
MACHO;4;35;7.31;373.8;50;16.7
MACHO;2;12;7.9;226.8;58;19.4
HEMBRA;3;46;7.64;323.4;57.9;17.9
MACHO;6;45;9.16;210;61;21.8
MACHO;7;50;7.02;346.5;43;14.5
HEMBRA;2;18;8.25;226.8;63.8;19.6
MACHO;6;23;6.81;142.8;46;16.5
MACHO;3;25;7.31;315;50;17
MACHO;2;22;8.88;436.8;57;18.8
MACHO;6;32;6.09;361.2;43;12.4
MACHO;2;72;8.32;333.9;58;19.9
HEMBRA;6;41;8;378;49;15.5
HEMBRA;2;15;8.31;310.8;58;19.3
MACHO;4;6;8.6;203.7;55.96;16.3
HEMBRA;5;38;7.09;327.6;43;13
MACHO;6;24;7.21;296.1;51;18
HEMBRA;5;34;7.22;247.8;48;18.2
HEMBRA;6;28;7.42;174.3;55;18
HEMBRA;5;26;7.73;186.9;55;18.9
MACHO;3;42;8.36;285.6;55;19.4
MACHO;6;30;8.55;283.5;62;20.6
MACHO;1;22;7.02;323.4;51;16.2
MACHO;3;38;7.29;172.2;51;17.3
HEMBRA;4;32;6.26;289.8;48;17.6
HEMBRA;2.5;28;7.7;281.4;54;18.2
HEMBRA;3;21;7.96;378;59;20.9
MACHO;6;25;7.29;222.6;50;16.8
HEMBRA;6;21;5.65;512.4;38;13.7
HEMBRA;1;42;7.74;289.8;54.89;17.3
MACHO;7;7;8.14;205.8;53;18.9
MACHO;2;28;7.84;289.8;53;18.3
MACHO;6;41;11.2;193.2;57;19.3
MACHO;5;6;7.54;315;51;17.6
HEMBRA;7;28;5.83;222.6;43;14.6
MACHO;2;3;8.16;184.8;56;20.1
HEMBRA;1.5;32;9.15;270.9;47;16.2
MACHO;3.5;6;8.44;357;59.87;17.9
MACHO;3.5;35;7.93;277.2;56.78;19.3
HEMBRA;1;42;7.12;197.4;55.22;18.9
HEMBRA;2;5;7.81;388.5;55;19
HEMBRA;5;8;6.78;438.9;48;16.4
MACHO;5.5;39;8.35;252;44;15.6
HEMBRA;2;38;7.85;281.4;49;18.7
HEMBRA;6;41;9.8;304.5;64;22.7
MACHO;3;13;8.41;315;54;18.6
MACHO;2;15;8.08;155.4;55;19.1
HEMBRA;3.5;47;6.98;220.5;49.94;15.1
MACHO;3;43;8.33;310.8;55;18.7
MACHO;4.5;35;7.45;396.9;50;16
MACHO;4;28;7.62;220.5;58;19.9
HEMBRA;2;25;6.78;422.1;46;16
HEMBRA;4.5;19;8.18;327.6;55;18.8
MACHO;3.5;8;8.49;499.8;58;20
MACHO;2;41;7.45;323.4;53;18.1
MACHO;4;22;6.67;310.8;44;15.7
MACHO;5;45;8.14;153.3;54;18.8
MACHO;2;67;7.18;247.8;59;17.7
MACHO;2;16.8;8.71;327.6;54;19.7
HEMBRA;1;35;7.09;407.4;54;18.4
MACHO;3;42;7.05;277.2;52.84;15.6
MACHO;1.5;50;9.14;342.3;46;15.4
MACHO;2;6;8.31;480.9;61;20.3
MACHO;6;29;7.32;210;49;18.4
MACHO;6;9;8.63;310.8;58;20.2
MACHO;2;25;8.15;182.7;55;19.4
MACHO;1.5;23;6.74;249.9;60;18.9
MACHO;7;12;8.03;342.3;53;18.8
MACHO;2;27;6;325.5;42;14.4
HEMBRA;5;42;7.92;197.4;55;19.6
HEMBRA;1.5;15;6.42;445.2;48.23;15
MACHO;7;28;6.84;308.7;46;15.2
MACHO;2;17;8.42;275.1;55;19.1
MACHO;2;28;6.79;348.6;50;16.7
MACHO;5;36;7.97;218.4;59;19.9
HEMBRA;2;50;9.31;163.8;48;16.8
HEMBRA;2;21;8.33;298.2;54;19.4
MACHO;3;33;7.24;207.9;51;17.5
MACHO;2;15;8.03;407.4;58;19.4
HEMBRA;7;32;7.66;365.4;49;17.6
HEMBRA;4;45;7.35;371.7;57.95;18.2
HEMBRA;6;28;8.4;168;54;20.6
MACHO;5.5;30;8.64;310.8;61;22.1
HEMBRA;4;7;8.28;275.1;57;19.8
MACHO;2;60;7.83;178.5;53;18.7
HEMBRA;8;8.5;8.6;298.2;62;20.7
HEMBRA;6;26;7.56;228.9;50;18.2
HEMBRA;7;50;6.32;241.5;42;14.9
HEMBRA;7;32;6.64;254.1;45;15.9
HEMBRA;3;6.5;8.87;214.2;64;21.8
MACHO;6;50;6.48;331.8;44;15.2
HEMBRA;6;7.6;7.68;327.6;49;16.2
HEMBRA;4;26;7.83;220.5;57.93;19.6
HEMBRA;1.5;23;7.99;336;55;18.9
MACHO;4;9;6.43;279.3;40;14.5
MACHO;3;13;7.65;310.8;53;18.1
MACHO;4.5;30;6.1;174.3;40;13.6
MACHO;5;27;8.35;218.4;53;19.1
HEMBRA;5;36;6.77;369.6;59.95;16.4
HEMBRA;6;26;6.49;302.4;49;17.4
HEMBRA;2;35;7.67;258.3;53;18.4
HEMBRA;2;42;8.23;279.3;63.77;19.4
HEMBRA;6;5.8;7.64;285.6;56;19.6
HEMBRA;1;20;7.02;201.6;49.8;14.8
HEMBRA;4;32;6.61;281.4;49;16.6
HEMBRA;4;5.1;8.48;323.4;60;20.5
MACHO;3;9;6.69;302.4;52;17.9
MACHO;2;41;7.8;243.6;55;19.2
HEMBRA;4;36;8.13;384.3;55;19
HEMBRA;2;17;7.89;231;54;20.01
HEMBRA;7.5;4.6;9.69;268.8;59;21.9
HEMBRA;2;6;7.84;363.3;58;19.7
HEMBRA;4;7;8.61;245.7;62;21.1
HEMBRA;3.5;38;10;315;51;17.8
MACHO;2;60;7.16;304.5;53.73;16.7
MACHO;3;41;6.6;327.6;50.51;16.3
HEMBRA;5;8;5.72;180.6;40.38;13.7
MACHO;3;12;8.13;357;51;17.9
MACHO;4;2;8.36;275.1;60;20.1
MACHO;4;25;6.8;281.4;45;18.6
HEMBRA;7;41;6.07;361.2;46.98;14.5
HEMBRA;4;8;6.79;231;49;16.7
HEMBRA;4;35;9.25;168;61;20.4
MACHO;1.5;45;8.35;369.6;45;15.2
MACHO;2;18;7.21;323.4;49;16.8
MACHO;6;38;7.99;191.1;50;18.8
MACHO;5;27;8.17;231;60;20.1
MACHO;1.5;21;7.95;283.5;54;19.3
MACHO;2;20;9.11;231;60;21.2
MACHO;2;25;7.03;216.3;47;16.4
MACHO;7;28;7.87;226.8;57;19.2
HEMBRA;1;7;6.86;302.4;49;17.5
HEMBRA;2;18;10.06;315;57;23.1
MACHO;2.5;13;7.01;231;55;18.1
MACHO;1.5;44;7.79;365.4;46;15.9
HEMBRA;3;38;6.45;325.5;51.7;16
MACHO;5;4;7.35;472.5;53;19.1
HEMBRA;4;45;11.1;281.4;50;17.4
HEMBRA;4;20;8.88;298.2;59;20.2
HEMBRA;4;6.2;8.47;273;59;19.6
MACHO;2;19;8.6;243.6;58;20.6
MACHO;4;11;7.46;312.9;52;17.4
HEMBRA;8;6;8.91;210;59;21.5
MACHO;5;17;8.14;249.9;57;19
MACHO;6;50;6.95;252;51;17.1
HEMBRA;3;17;7.9;235.2;50;18.6
HEMBRA;4;8;9.22;312.9;67.91;20.8
HEMBRA;3;30;6.98;363.3;52;18.6
HEMBRA;4;43;8.04;333.9;64;18.5
MACHO;5.5;17;8.68;277;60;19.8
MACHO;6;9.6;8.18;300.3;59;20.3
MACHO;5;39;8.62;281.4;50;20.1
MACHO;4;17;5.67;252;45.9;13.6
MACHO;5;30;5.57;390.6;37;12.3
HEMBRA;4;21;6.69;218.4;50;16.6
MACHO;5.5;32;8.64;201.6;55;20.2
HEMBRA;5;36;7.15;474.6;50;17.9
MACHO;2.5;6.6;7.56;226.8;55;19.8
MACHO;6;37;7.19;317.1;52;16.2
MACHO;2.5;42;8.3;359.1;52;19.4
MACHO;3;30;7.43;199.5;52;18.4
HEMBRA;3;35;7.65;155.4;55;18.6
MACHO;6;8;9.19;210;53;18.9
HEMBRA;7;25;8.19;189;50;18.3
MACHO;4;2;7.25;241.5;52;18.6
HEMBRA;6;18;8.38;186.9;59;18.9
HEMBRA;1.5;32;7.41;256.2;51;17.5
HEMBRA;1;22;6.25;247.8;45;15.5
HEMBRA;2;5.6;7.97;233.1;60;20.2
HEMBRA;4;28;6.61;243.6;45;14.3
HEMBRA;4;42;8.69;308.7;58;19.5
HEMBRA;6;43;7.71;239.4;56;18.2
HEMBRA;3;42;8.13;317.1;53;18.2
HEMBRA;4;43;7.15;342.3;56.68;18
MACHO;2;32;8.65;241.5;55;19.8
HEMBRA;2;42;7.88;394.8;56;18.6
HEMBRA;6;48;7.14;306.6;51.05;15.9
HEMBRA;2;53;8.15;258.3;57;20.4
HEMBRA;6;55;7.07;371.7;50;18
HEMBRA;4;52;8.13;210;58;20.5
HEMBRA;4;53;6.82;216.3;51;17
HEMBRA;3;52;8.7;304.5;60;20.8
HEMBRA;5;54;7.85;163.8;62.24;19.5
MACHO;3;32;7.62;222.6;51;18.8
HEMBRA;3;4;7;252;57;18.2
MACHO;3;21;8.25;241.5;59;21.5
HEMBRA;5;35;6.43;252;45;16.4
MACHO;5;37;6.87;235.2;48;16.4
MACHO;2;42;6.9;359.1;47;16.3
HEMBRA;3;2;8.24;315;56;20
HEMBRA;2;23;7.33;241.5;56;17.9
HEMBRA;2;21;7.85;348.6;54;18
MACHO;1.5;21;7.38;270.9;54;18.3
MACHO;7;50;8.64;327.6;63.24;19.9
MACHO;7;28;8.15;237.3;50;17.6
MACHO;5;34;6.5;226.8;49;17.6
MACHO;6;32;7.95;210;52;16.9
MACHO;2;18;8.08;205.8;59;19.5
MACHO;1.5;12;6.56;264.6;49;15.6
MACHO;3;9.1;5.16;365.4;37;11.8
MACHO;2;27;7.67;396.9;53;19.3
MACHO;5;27;8.66;178.5;60;21
HEMBRA;5.5;38;8.53;216.3;62;20.8
HEMBRA;3;16.4;8.71;241.5;59;20.9
MACHO;3;40;8.11;216.3;50;18.6
MACHO;6;37;6.88;260.4;48;16.4
HEMBRA;3;35;7.47;312.9;48;17.6
MACHO;1;5;8.09;224.7;54;19.2
MACHO;4;30;7.45;270.9;54;18.6
HEMBRA;2;20;6.78;207.9;47;16.7
HEMBRA;1;11;6.4;277.2;46;16
HEMBRA;2;21;5.95;357;42;14.3
MACHO;5;25;7.34;210;51;18.4
HEMBRA;7;50;7.99;218.4;50;18.1
HEMBRA;6;60;8.61;142.8;62.7;19.6
HEMBRA;4;27;7.69;411.6;57;20.6
MACHO;1.5;41;7.8;289.8;58.39;18.5
MACHO;6;50;7.69;193.2;56.53;18.1
MACHO;1;3.5;7.53;308.7;52;17.7
HEMBRA;6;38;6.78;289.8;45;15.8
HEMBRA;2;18;7.4;289.8;53;18.2
HEMBRA;2;24;7.28;252;52;18.2
HEMBRA;4;37;7.7;287.7;57;18.3
MACHO;7;32;8.35;252;59;21.4
HEMBRA;5;30;6.87;331.8;47;17.2
HEMBRA;4;38;8.33;201.6;54;19
HEMBRA;5.5;6.5;7.15;331.8;48;17.5
HEMBRA;6;35;8.4;226.8;54;19.3
MACHO;4;30;7.25;327.6;49;18.2
MACHO;2;27;8.12;405.3;53;18.9
HEMBRA;5;26;6.14;388.5;43;14.3
MACHO;2.5;25;7.17;241.5;48;17.7
MACHO;3;20;8.44;279.3;57;18.8
MACHO;3;15;7.77;247.8;56;19.7
HEMBRA;3;23;7.32;331.8;51;18.4
MACHO;6;5.5;6.29;189;40;14.4
MACHO;7;5.5;8.25;333.9;58;20.1
MACHO;2;23;8.62;247.8;58;20.2
MACHO;6;8;6.64;172.2;44;14.7
MACHO;3;35;7.73;304.5;50;17
MACHO;5;5;6.91;226.8;50.69;18.1
MACHO;2;33;7.48;336;51;18.2
MACHO;7;38;6.73;178.5;49;15.3
MACHO;5;4.1;6.89;245.7;49;16
HEMBRA;5.5;6;7.28;294;50;19.3
MACHO;2;20;8.48;352.8;63;25.3
MACHO;2;20;7.05;186.9;48;16.6
MACHO;4;7;8.01;228.9;59;19
MACHO;3;30;8.87;205.8;57;20.8
MACHO;1;16;8.06;325.5;53;18.1
HEMBRA;2;35;7.12;285.6;46;16.6
MACHO;2;43;7.09;249.9;45;19.2
HEMBRA;2;25;9.4;233.1;65;20.3
HEMBRA;3;29;7.36;340.2;53;18.2
MACHO;4;30;7.88;205.8;54;18.7
MACHO;1;25;8.25;203.7;58;19.4
HEMBRA;5;32;8.39;264.6;51;17.9
HEMBRA;5;18;8.06;319.2;57;20
HEMBRA;1.5;32;9.36;165.9;55;20.8
HEMBRA;4;40;9.18;228.9;46;15.6
HEMBRA;7;5;8.03;262.5;55;19.2
MACHO;2;5.6;7.85;218.4;57;19.9
HEMBRA;7;33.2;8.09;210;59;20.4
HEMBRA;7.5;7.5;8.05;243.6;57;19.2
HEMBRA;6;26;7.85;201.6;50;18.2
MACHO;7;38;8.14;256.2;49;19
MACHO;7;36;7.94;201.6;56;19.4
MACHO;3;26;7.34;333.9;50;18.1
MACHO;6;42;7.19;289.8;52;17.5
